"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
subjid,tier_logic,,text,"Participant Identification Number (PIN):",,,,,,,,,,,,,
ever_pcr_positive,tier_logic,,calc,"Ever PCR positive","if(
  [enrollment_e0_arm_1][pres_initial_status]='2' or
  [enrollment_e0_arm_1][pres_initial_status]='3' or
  [tier_1_week_1_arm_1][test_result]='1' or
  [tier_1_week_2_arm_1][test_result]='1' or
  [tier_1_week_3_arm_1][test_result]='1' or
  [tier_1_week_4_arm_1][test_result]='1' or
  [tier_1_week_5_arm_1][test_result]='1' or
  [tier_1_week_6_arm_1][test_result]='1',
1,0)",,,,,,,,,,,," @HIDDEN"
symptom_now,tier_logic,,calc,symptom_now,"if([sympt_status][1] = '1' or
  [sympt_status][2] = '1' or
  [sympt_status][3] = '1' or
  [sympt_status][4] = '1' or
  [sympt_status][5] = '1' or
  [sympt_status][6] = '1' or
  [sympt_status][7] = '1' or
  [enrollment_e0_arm_1][pres_initial_status]='3',
    1,
    0
)",,,,,,,,,,,," @HIDDEN"
current_tier,tier_logic,,calc,current_tier,"if([event-name]='tier_1_week_1_arm_1' or [event-name]='tier_1_week_2_arm_1' or [event-name]='tier_1_week_3_arm_1' or [event-name]='tier_1_week_4_arm_1' or [event-name]='tier_1_week_5_arm_1' or [event-name]='tier_1_week_6_arm_1',1,if([event-name]='tier_2_week_1_arm_1' or [event-name]='tier_2_week_2_arm_1' or [event-name]='tier_2_week_3_arm_1' or [event-name]='tier_2_week_4_arm_1' or [event-name]='tier_2_week_5_arm_1' or [event-name]='tier_2_week_6_arm_1',2,if([event-name]='tier_3_week_1_arm_1' or [event-name]='tier_3_week_2_arm_1' or [event-name]='tier_3_week_3_arm_1' or [event-name]='tier_3_week_4_arm_1' or [event-name]='tier_3_week_5_arm_1' or [event-name]='tier_3_week_6_arm_1',3,1)))",,,,,,,,,,,," @HIDDEN"
calcnext_tier,tier_logic,"Tier workflow helpers",calc,"Calculated next tier","if([ever_pcr_positive]=0,1,if([symptom_now]=1,3,2))","Hidden helper field used for comparisons and alerts.",,,,,,,,,,," @HIDDEN"
expected_tier,tier_logic,,calc,"Expected Tier",[aggregate-max:calcnext_tier:record-name],,,,,,,,,,,," @HIDDEN"
tier_review_complete,tier_logic,"Tier review",yesno,"Tier review complete?",,"Confirms that workflow review has been completed.",,,,,,,,,,,
tier_mismatch_warning,tier_logic,"Tier alerts",descriptive,"<div class=""rich-text-field-label""><p><span style=""font-size: 14pt; color: #e03e2d;"">Participant appears to be assigned to an incorrect Tier. Please review.</span></p></div>",,"Display-only mismatch warning.",,,,,"[current_tier]<>[expected_tier] and [event-name]<>'enrollment_e0_arm_1'",,,,,,
tier_match_warning,tier_logic,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-size: 14pt; color: #3598db;"">Participant appears to be assigned to the correct Tier</span></p></div>",,"Display-only mismatch warning.",,,,,[current_tier]=[expected_tier],,,,,,
tier_transition_message,tier_logic,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-size: 14pt; color: #e03e2d;"">Participant should transition to Tier [expected_tier].</span></p></div>",,"Display-only alert field.",,,,,"[current_tier]=1 and [expected_tier]=2 or [current_tier]=1 and [expected_tier]=3 or [current_tier]=2 and [expected_tier]=3",,,,,,
pres_enrolmentdate,inclusion_criteria,,text,"Date of Enrolment",,,date_dmy,2000-01-01,,,,y,,,,,
sitename,inclusion_criteria,,text,"Site name",,,,,,,,y,,,,,
coriona_ieorres3,inclusion_criteria,"INCLUSION CRITERIA",radio,"Proven or suspected hantavirus infection","1, Yes | 0, No",,,,,,,y,RH,,,,
noncorona_expphi_v2,inclusion_criteria,,radio,"High suspicion of exposure to hantavirus","1, Yes | 0, No","Includes suspected epidemiological or environmental exposure even without confirmed infection",,,,,,y,RH,,,,
consent_data,consent,CONSENT,radio,"As a research professional I certify that consent has been documented","1, Yes | 0, No",,,,,,,y,RH,,,,
consent_dna,consent,,radio,"Did the participant consent for blood samples to be used for genetic (DNA) research?","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
consent_genstudy,consent,,radio,"Did the participant consent to participate in the Host Genetics substudy?","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
expo14_travel,epidemiological_assessment,"EXPOSURE HISTORY IN PREVIOUS 6 WEEKS",radio,"Did the patient travel outside of their home region in the past 6 Weeks?","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
expo14_travel_loc,epidemiological_assessment,,notes,"specify all city / cities or town(s) and region(s) of travel",,,,,,,"[expo14_travel] = '1'",,,,,,
expo14_yn,epidemiological_assessment,,radio,"History of exposure or contact with suspected or confirmed human case of same pathogen?","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
expo14_setting,epidemiological_assessment,,checkbox,"Contact setting","6, MV Hondius | 1, Household | 2, Community/social | 3, Healthcare facility | 4, Occupational/workplace | 5, Sexual contact | 7, Air travel/flight | 88, Other | 99, Unknown",,,,,,[expo14_yn]='1',,,,,,
expo14_setting_oth,epidemiological_assessment,,text,"Specify other contact setting",,,,,,,[expo14_setting(88)]='1',,,,,,
expo14_date,epidemiological_assessment,,text,"Date of first contact with suspected or confirmed case",,,date_dmy,,,,[expo14_yn]='1',,,,,,
expo14_enddate,epidemiological_assessment,,text,"Date of last contact with suspected or confirmed case",,,date_dmy,,,,[expo14_yn]='1',,,,,,
expo14_contin,epidemiological_assessment,,radio,"Exposure continuous or repeated","1, Continuous | 2, Repeated | 3, Both | 99, Unknown",,,,,,[expo14_yn]='1',,,,,,
expo14_sharedcabin,epidemiological_assessment,"EXPOSURE TO CONFIRMED OR SUSPECTED CASE ON BOARD",radio,"Shared cabin with confirmed or suspected case","1, Yes | 0, No | 99, Unknown",,,,,,[expo14_setting(6)]='1',,RH,,,,
expo14_sharedbathroom,epidemiological_assessment,,radio,"Shared bathroom facilities with confirmed or suspected case","1, Yes | 0, No | 99, Unknown",,,,,,[expo14_setting(6)]='1',,RH,,,,
